user_id,cart,purchase,remove_from_cart,view,Cohort,Total_Interactions
8072106,0,0,0,1,Bouncers (Low Engagement),1
9478445,0,0,0,1,Bouncers (Low Engagement),1
9794320,0,0,0,1,Bouncers (Low Engagement),1
12961898,0,0,0,1,Bouncers (Low Engagement),1
14297993,2,0,1,1,Cart Abandoners,4
15891870,0,0,0,1,Bouncers (Low Engagement),1
16460232,0,0,0,1,Bouncers (Low Engagement),1
16878388,0,0,0,1,Bouncers (Low Engagement),1
19284699,0,0,0,1,Bouncers (Low Engagement),1
24526603,0,0,0,1,Bouncers (Low Engagement),1
25300038,4,0,0,1,Cart Abandoners,5
25392526,0,0,0,1,Bouncers (Low Engagement),1
25893719,0,0,0,1,Bouncers (Low Engagement),1
27872944,0,0,0,1,Bouncers (Low Engagement),1
28048440,0,15,0,0,High-Intent Buyers,15
29415138,0,0,0,7,Window Shoppers,7
29606626,0,0,0,1,Bouncers (Low Engagement),1
30868339,0,0,0,1,Bouncers (Low Engagement),1
30967218,0,0,0,1,Bouncers (Low Engagement),1
31156111,1,0,0,1,Cart Abandoners,2
31272873,1,0,0,9,Cart Abandoners,10
31328299,0,0,0,1,Bouncers (Low Engagement),1
31647175,0,0,0,1,Bouncers (Low Engagement),1
32537254,0,0,0,3,Window Shoppers,3
32701458,4,0,6,11,Cart Abandoners,21
34033932,0,0,10,2,Bouncers (Low Engagement),12
34306211,0,0,0,1,Bouncers (Low Engagement),1
34441301,0,0,0,1,Bouncers (Low Engagement),1
35679726,0,0,0,1,Bouncers (Low Engagement),1
38069416,0,0,0,1,Bouncers (Low Engagement),1
38560385,0,0,0,1,Bouncers (Low Engagement),1
38741280,1,0,4,2,Cart Abandoners,7
38774774,0,0,0,1,Bouncers (Low Engagement),1
40170958,2,0,0,2,Cart Abandoners,4
41313183,0,0,0,1,Bouncers (Low Engagement),1
41520807,17,0,1,8,Cart Abandoners,26
41980804,0,0,0,1,Bouncers (Low Engagement),1
42120787,0,0,0,1,Bouncers (Low Engagement),1
42475928,0,0,0,1,Bouncers (Low Engagement),1
43713532,15,0,4,5,Cart Abandoners,24
45244519,0,0,0,1,Bouncers (Low Engagement),1
46913150,0,0,0,1,Bouncers (Low Engagement),1
47062501,0,0,0,1,Bouncers (Low Engagement),1
47076222,22,10,2,45,High-Intent Buyers,79
47218096,0,0,0,1,Bouncers (Low Engagement),1
47401174,0,0,0,1,Bouncers (Low Engagement),1
47515278,0,0,0,1,Bouncers (Low Engagement),1
50142794,0,0,0,1,Bouncers (Low Engagement),1
50912950,0,0,0,1,Bouncers (Low Engagement),1
51824526,0,0,4,6,Window Shoppers,10
52277979,2,0,0,3,Cart Abandoners,5
52559344,0,0,0,1,Bouncers (Low Engagement),1
53416194,2,0,0,1,Cart Abandoners,3
53421372,0,0,0,1,Bouncers (Low Engagement),1
53662972,0,0,0,1,Bouncers (Low Engagement),1
53952900,0,0,0,1,Bouncers (Low Engagement),1
53955286,0,0,0,2,Bouncers (Low Engagement),2
55587706,7,1,3,2,High-Intent Buyers,13
55872551,0,0,0,1,Bouncers (Low Engagement),1
56918364,0,0,0,6,Window Shoppers,6
59578483,0,0,0,1,Bouncers (Low Engagement),1
61237122,2,12,1,1,High-Intent Buyers,16
62005536,0,0,1,0,Bouncers (Low Engagement),1
62833736,0,0,0,1,Bouncers (Low Engagement),1
64026328,0,0,0,1,Bouncers (Low Engagement),1
64087386,7,0,0,8,Cart Abandoners,15
64523942,0,0,0,1,Bouncers (Low Engagement),1
64651263,0,0,0,1,Bouncers (Low Engagement),1
65037560,0,0,0,1,Bouncers (Low Engagement),1
